"## Filename : qalingo-bo-wording",,,,,,,,,,,,,,,,,
"## PrefixKey : bo",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"##",,,,,,,,,,,,,,,,,
"## Qalingo - {Q} Project",,,,,,,,,,,,,,,,,
"## Internationalisation - """"XXLANGUAGE_CODEXX"""" - Backoffice Messages",,,,,,,,,,,,,,,,,
"##",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Prefix","Key","en","fr","de","es","it","nl","pt","jp","zh_CN","zh_HK","zh_SG","zh_TW","vi_VN","ru","ca","eu"
"home","content.text","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla eget augue ante, et dignissim mi. Cras posuere, dolor vel tempus adipiscing, quam diam eleifend neque, sit amet pulvinar risus enim id elit. Curabitur vitae enim orci, vel tristique ligula. Nullam sed diam ut sem cursus molestie sed quis mauris. Ut imperdiet, nisi eu feugiat egestas, eros nisl elementum tortor, at rutrum odio nulla sit amet turpis. Nullam fermentum, velit vel ornare viverra, mauris velit malesuada augue, eu faucibus eros magna a lacus. Morbi a leo tortor, eu tincidunt velit. Morbi ullamcorper, quam consequat eleifend accumsan, metus erat commodo mi, vitae aliquet erat elit vitae tortor. In eget diam ac felis vulputate molestie pulvinar non arcu. Phasellus ut feugiat justo.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla eget augue ante, et dignissim mi. Cras posuere, dolor vel tempus adipiscing, quam diam eleifend neque, sit amet pulvinar risus enim id elit. Curabitur vitae enim orci, vel tristique ligula. Nullam sed diam ut sem cursus molestie sed quis mauris. Ut imperdiet, nisi eu feugiat egestas, eros nisl elementum tortor, at rutrum odio nulla sit amet turpis. Nullam fermentum, velit vel ornare viverra, mauris velit malesuada augue, eu faucibus eros magna a lacus. Morbi a leo tortor, eu tincidunt velit. Morbi ullamcorper, quam consequat eleifend accumsan, metus erat commodo mi, vitae aliquet erat elit vitae tortor. In eget diam ac felis vulputate molestie pulvinar non arcu. Phasellus ut feugiat justo.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla eget augue ante- und Halb dignissim. Cras posuere, dolor vel adipiscing tempus, quam diam eleifend neque, Risus pulvinar sit amet enim id elit. Curabitur vitae orci enim vel Triplett ligula. Sed diam nullam ut sem Lehrplan molestie sed quis mauris. Ut imperdiet, nisi hatte feugiat egestas, eros nisl tortor elementum hat rutrum odio turpis sit amet nulla. Nullam fermentum, velit vel ornare viverra, mauris augue velit malesuada hatte faucibus magna eros lacus. Morbi leo hat tortor hatte tincidunt velit. Ullamcorper Morbidität, quam consequat eleifend accumsan, metus erat Stiel km, Lebenslauf elit erat aliquet tortor. In eget diam ac felis vulputate molestie pulvinar nicht arcu. Phasellus feugiat ut justo.","Lorem ipsum dolor sit amet, elit adipiscing consectetur. Nulla ante augue eget y mediados dignissim. Cras posuere, dolor vel adipiscing tempus, quam diam eleifend ñeque, Risus pulvinar sentarse elit amet Identificación del enim. Curabitur vitae lígula enim orci vel triplete. Nullam diam Sed ut currículo sem molestie sed quis mauris. Imperdiet Ut, nisi tenía feugiat egestas, eros elementum tortor nisl, tiene rutrum odio turpis sit amet nulla. Nullam fermentum, velita vel ornare viverra, malesuada mauris augue velita, tenía faucibus magna eros Lacus. Morbi leo tiene tortor, tenía velita tincidunt. Morbilidad Ullamcorper, consequat quam eleifend accumsan, erat metus tallo mi, curriculum vitae elit aliquet erat tortor. En eget diam ac felis vulputate molestie pulvinar no arcu. Phasellus feugiat justo ut.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla Eget augue ante e mid dignissim. Cras Inchiesta, dolor vel adipiscing tempus, quam diam eleifend neque, Risus pulvinar sit amet enim id elit. Curabitur vitae orci enim vel ligula tripletta. Sed diam nullam ut curriculum sem molestie sed quis Mauris. Ut imperdiet, nisi aveva feugiat egestas, eros nisl tortor elementum, ha rutrum odio turpis sit amet nulla. Nullam fermentum, velit vel ornare viverra, Mauris augue velit malesuada, aveva faucibus magna eros lacus. Morbi leo ha tortor, aveva tincidunt velit. Ullamcorper morbilità, quam consequat eleifend accumsan, Metus erat mi gambo, curriculum vitae elit erat aliquet tortor. In Eget diam ac felis vulputate molestie pulvinar non Arcu. Phasellus feugiat ut justo.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla Eget augue ante en mid dignissim. Cras posuere, dolor vel adipiscing tempus, quam diam eleifend neque, Risus pulvinar sit amet enim id elit. Curabitur vitae orci enim vel triplet tongetje. Sed diam nullam ut sem curriculum molestie sed quis Mauris. Ut imperdiet, nisi had feugiat egestas, eros NISL Tortor Elementum, heeft rutrum odio turpis sit amet nulla. Nullam fermentum, velit vel Ornare Viverra, Mauris augue velit malesuada, had faucibus magna eros Lacus. Morbi leo heeft Tortor, had tincidunt velit. Ullamcorper morbiditeit, quam consequat eleifend accumsan, metus erat stengel mi, curriculum vitae elit erat aliquet Tortor. In Eget diam ac felis vulputate molestie pulvinar niet Arcu. Phasellus feugiat ut justo.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla eget augue ante e meados dignissim. Cras posuere, dolor vel adipiscing tempus, quam diam eleifend neque, Risus pulvinar sit amet enim elit id. Curabitur vitae Orci enim vel triplete ligula. Sed nullam diam currículo sem ut molestie sed Quis mauris. Ut imperdiet, nisi teve feugiat egestas, eros NISL elementum tortor, tem rutrum odio turpis sit amet nulla. Nullam fermentum, velit vel Ornare viverra, mauris augue velit malesuada, teve faucibus eros magna lacus. Morbi leo tem tortor, teve tincidunt velit. Ullamcorper morbidade, quam consequat eleifend accumsan, metus erat mi talo, curriculum vitae elit erat aliquet tortor. Em eget diam ac felis vulputate molestie pulvinar não arcu. Phasellus feugiat ut justo.","Loremのイプサムの嘆き、AMET consecteturのadipiscingのELIT座る。 Nulla egetのaugueのアンティとミッドdignissim。お問い合わせ今、悲しみのVELのadipiscingのテンパスのCRA、QUAM DIAM eleifend neque、笑い視床枕enim者ID ELITをAMET座る。 Curabitur履歴書のorci enimのVELトリプレットligula。 SED DIAMのnullam UT SEMのカリキュラムmolestie SED QUIS mauris。 UTのimperdiet、NiSiからは排出物feugiat持っていた、エロスnisl tortorのelementumは、rutrum ODIO turpis AMET座るnullaを持っています。 Nullamファーメンタム、velit VEL ornare viverra、maurisのaugueのvelitのmalesuada、faucibusマグナエロスのラクスを持っていた。 Morbiレオはtinciduntのvelitを持っていた、tortorを持っています。 Ullamcorperの罹患率、QUAM consequat eleifend accumsan、metusのERATは、MI、履歴書のELIT ERATのaliquetのtortor茎。 egetのDIAMのAC INフェリスvulputate molestie視床枕非ARCU。 Phasellusのfeugiat UTのフスト。","这是痛苦，谢谢你，后一个注释。离合器取得了尼思的前面，刷，我的女神。明天，他们设置起来，疼痛，或监测的恐惧，日本的帝国保持总线，可以肯定的微笑论坛成千上万的声音。 ，正式拧，欢迎来访的美国国，或油箱世界各地的压力没有到可以讲电视上坐电子邮件尼思帮助。一样聪明，不中频好漫画，观光元素替代的玩家，光明使者它去没有更丑。中继聊天，或玩户外教育，技术将扩展咽痛传播，从湖杂志。主持一个复杂的，电脑游戏开发商。玩过足球，帝国的团队为导向的结果，有被冲击，我的竞争是一个拧包。平台的电网，并极大地降低了员工的汽车，没有酒精工作服收入的敬业精神。 “ ”我们将是肯定要发表评论。离合器已经取得尼思的前面，刷，我的女神。明天，他们安装了疼痛，或监测的恐惧，日本的帝国保持总线，微笑论坛成千上万的声音。 ，为螺纹，欢迎来到美国，还是世界各地的罐。电子邮件发送区实施扩张，坐在后面尼思帮助。一样聪明，不中频好漫画，观光元素替换球员，别墅没有更多的使者，光它丑陋。中继聊天，或玩户外教育，要叛，酸痛的喉咙蔓延来创建，给出一个大致湖。一个复杂的，电脑游戏开发商主办的发挥足球，以团队为导向的结果，帝国，震荡，我的竞争是一个拧包。平台电网和大幅降低员工的汽车，没有酒精。敬业精神在这货运火车上。","這是痛苦，謝謝你，後一個註釋。離合器取得了尼思的前面，刷，我的女神。明天，他們設置起來，疼痛，或監測的恐懼，日本的帝國保持總線，可以肯定的微笑論壇成千上萬的聲音。 ，正式擰，歡迎來訪的美國國，或油箱世界各地的壓力沒有到可以講電視上坐電子郵件尼思幫助。一樣聰明，不中頻好漫畫，觀光元素替代的玩家，光明使者它去沒有更醜。中繼聊天，或玩戶外教育，技術將擴展咽痛傳播，從湖雜誌。主持一個複雜的，電腦遊戲開發商。玩過足球，帝國的團隊為導向的結果，有被衝擊，我的競爭是一個擰包​​。平台的電網，並極大地降低了員工的汽車，沒有酒精工作服收入的敬業精神。 “ ”我們將是肯定要發表評論。離合器已經取得尼思的前面，刷，我的女神。明天，他們安裝了疼痛，或監測的恐懼，日本的帝國保持總線，微笑論壇成千上萬的聲音。 ，為螺紋，歡迎來到美國，還是世界各地的罐。電子郵件發送區實施擴張，坐在後面尼思幫助。一樣聰明，不中頻好漫畫，觀光元素替換球員，別墅沒有更多的使者，光它醜陋。中繼聊天，或玩戶外教育，要叛，酸痛的喉嚨蔓延來創建，給出一個大致湖。一個複雜的，電腦遊戲開發商主辦的發揮足球，以團隊為導向的結果，帝國，震盪，我的競爭是一個擰包​​。平台電網和大幅降低員工的汽車，沒有酒精。敬業精神這貨運火車上。 ","這是痛苦，謝謝你，後一個註釋。離合器取得了尼思的前面，刷，我的女神。明天，他們設置起來，疼痛，或監測的恐懼，日本的帝國保持總線，可以肯定的微笑論壇成千上萬的聲音。 ，正式擰，歡迎來訪的美國國，或油箱世界各地的壓力沒有到可以講電視上坐電子郵件尼思幫助。一樣聰明，不中頻好漫畫，觀光元素替代的玩家，光明使者它去沒有更醜。中繼聊天，或玩戶外教育，技術將擴展咽痛傳播，從湖雜誌。主持一個複雜的，電腦遊戲開發商。玩過足球，帝國的團隊為導向的結果，有被衝擊，我的競爭是一個擰包​​。平台的電網，並極大地降低了員工的汽車，沒有酒精工作服收入的敬業精神。 “ ”我們將是肯定要發表評論。離合器已經取得尼思的前面，刷，我的女神。明天，他們安裝了疼痛，或監測的恐懼，日本的帝國保持總線，微笑論壇成千上萬的聲音。 ，為螺紋，歡迎來到美國，還是世界各地的罐。電子郵件發送區實施擴張，坐在後面尼思幫助。一樣聰明，不中頻好漫畫，觀光元素替換球員，別墅沒有更多的使者，光它醜陋。中繼聊天，或玩戶外教育，要叛，酸痛的喉嚨蔓延來創建，給出一個大致湖。一個複雜的，電腦遊戲開發商主辦的發揮足球，以團隊為導向的結果，帝國，震盪，我的競爭是一個擰包​​。平台電網和大幅降低員工的汽車，沒有酒精。敬業精神這貨運火車上。 ","這是痛苦，謝謝你，後一個註釋。離合器取得了尼思的前面，刷，我的女神。明天，他們設置起來，疼痛，或監測的恐懼，日本的帝國保持總線，可以肯定的微笑論壇成千上萬的聲音。 ，正式擰，歡迎來訪的美國國，或油箱世界各地的壓力沒有到可以講電視上坐電子郵件尼思幫助。一樣聰明，不中頻好漫畫，觀光元素替代的玩家，光明使者它去沒有更醜。中繼聊天，或玩戶外教育，技術將擴展咽痛傳播，從湖雜誌。主持一個複雜的，電腦遊戲開發商。玩過足球，帝國的團隊為導向的結果，有被衝擊，我的競爭是一個擰包​​。平台的電網，並極大地降低了員工的汽車，沒有酒精工作服收入的敬業精神。 “ ”我們將是肯定要發表評論。離合器已經取得尼思的前面，刷，我的女神。明天，他們安裝了疼痛，或監測的恐懼，日本的帝國保持總線，微笑論壇成千上萬的聲音。 ，為螺紋，歡迎來到美國，還是世界各地的罐。電子郵件發送區實施擴張，坐在後面尼思幫助。一樣聰明，不中頻好漫畫，觀光元素替換球員，別墅沒有更多的使者，光它醜陋。中繼聊天，或玩戶外教育，要叛，酸痛的喉嚨蔓延來創建，給出一個大致湖。一個複雜的，電腦遊戲開發商主辦的發揮足球，以團隊為導向的結果，帝國，震盪，我的競爭是一個擰包​​。平台電網和大幅降低員工的汽車，沒有酒精。敬業精神這貨運火車上。 ","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla eget augue ante, et dignissim mi. Cras posuere, dolor vel tempus adipiscing, quam diam eleifend neque, sit amet pulvinar risus enim id elit. Curabitur vitae enim orci, vel tristique ligula. Nullam sed diam ut sem cursus molestie sed quis mauris. Ut imperdiet, nisi eu feugiat egestas, eros nisl elementum tortor, at rutrum odio nulla sit amet turpis. Nullam fermentum, velit vel ornare viverra, mauris velit malesuada augue, eu faucibus eros magna a lacus. Morbi a leo tortor, eu tincidunt velit. Morbi ullamcorper, quam consequat eleifend accumsan, metus erat commodo mi, vitae aliquet erat elit vitae tortor. In eget diam ac felis vulputate molestie pulvinar non arcu. Phasellus ut feugiat justo.","Lorem Ipsum боль сидеть Амет, consectetur adipiscing Элит. Nulla Eget augue анте, и др dignissim миль. Крас Дознание, боль Новичок Tempus adipiscing, Квам диаметр eleifend neque, сидеть Амет pulvinar пзиз enim документа Элит. Curabitur биография enim Орси, Vel tristique язычок. Nullam Sed диаметр ут сем Cursus molestie Sed Quis mauris. Ut imperdiet, разводе ЕС feugiat экскретов, эрос nisl Elementum tortor, в rutrum ODIO Nulla сидеть Амет turpis. Nullam fermentum, велит Новичок ornare Циветы, mauris велит malesuada augue, ЕС faucibus эрос Magna Lacus. Morbi Лев tortor, ЕС tincidunt велит. Morbi ullamcorper, Квам consequat eleifend accumsan, Метус и требовалось Commodo миль, биография aliquet и требовалось Элит биография tortor. В EGET диам переменного тока Felis vulputate molestie pulvinar не arcu. Phasellus ут feugiat Хусто.","Lorem ipsum dolor sit amet, elit adipiscing consectetur. Nulla davant augue eget i mitjans dignissim. Cras posuere, mal vel adipiscing tempus, quam diam eleifend ñeque, Risus pulvinar seure elit amet Identificació del enim. Curabitur vitae lígula enim Orci vel triplet. Nullam diam Sigueu ut currículum sem molestie set quis mauris. Imperdiet Ut, nisi tenia feugiat egestas, eros elementum tortor nisl, té rutrum odi turpis sit amet nulla. Nullam fermentum, espelmeta vel ornare Viverra, malesuada mauris augue espelmeta, tenia Faucibus magna eros Lacus. Morbi llegeixo té tortor, tenia espelmeta tincidunt. Morbiditat Ullamcorper, consequat quam eleifend accumsan, erat metus tija mi, currículum vitae elit aliquet erat tortor. En eget diam ac felis vulputate molestie pulvinar no ARCU. Phasellus feugiat just ut.","Listatua publikatuko, Erantzun elite. Sony eget augue ante eta dignissim erdialdean. Jarraipen Similar, mina edo adipiscing tempus, nola diam eleifend ezta, risus zure for Kit id elite. Curabitur vitae orci enim edo hirukote ligula. Sed diam ikasgelan ut sem curriculum molestie sed quis mauris. Ut imperdiet, nisi egestas feugiat izan, eros nisl tortor elementu, makillaje odio turpis da publikatuko nulla ditu. Eguraldia fermentum, kanporako edo posta viverra, mauris augue velit malesuada, izan faucibus magna eros Saria. Morbi leo tortor ditu, tincidunt zehaztapen ematen izan. Ullamcorper erikortasun, nola consequat eleifend accumsan, metus erat stalk mi, curriculum vitae elit erat aliquet tortor. Gustatu diam ac In felis vulputate molestie zure gabeko itxita. Phasellus feugiat ut justo."
,,,,,,,,,,,,,,,,,
"## -- User --",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"header.title","personal.details","Your profile - {0}","Votre compte - {0}","Ihr Konto - {0}","Su Cuenta - {0}","Il tuo Account - {0}","Uw Account - {0}","Sua Conta - {0}","アカウント - {0}","您的个人资料 - {0}","您的個人資料 - {0}","您的个人资料 - {0}","您的個人資料 - {0}","Hồ sơ của bạn - {0}","Ваш профиль - {0}","El seu compte - {0}","Zure kontua - {0}"
"header.title","personal.edit","Your profile - {0}","Votre compte - {0}","Ihr Konto - {0}","Su Cuenta - {0}","Il tuo Account - {0}","Uw Account - {0}","Sua Conta - {0}","アカウント - {0}","您的个人资料 - {0}","您的個人資料 - {0}","您的个人资料 - {0}","您的個人資料 - {0}","Hồ sơ của bạn - {0}","Ваш профиль - {0}","El seu compte - {0}","Zure kontua - {0}"
,,,,,,,,,,,,,,,,,
"## -- User --",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"user","login.label","Login","Login ","Einloggen","Iniciar Sesión","login","Log In","Conecte-Se","ログイン","注册名","註冊名","註冊名","註冊名","Đăng nhập","Войти","Iniciar Sessió","Login"
"user","lastname.label","Lastname","Nom ","Name","nombre","nome","naam","nome","名前","姓氏","姓氏","姓氏","姓氏","Họ","Фамилия","Nom","Izena"
"user","firstname.label","Firstname","Prénom ","Vorname","Nombre De Pila","Nome","Voornaam","primeiro Nome","ファーストネーム","名字","名字","名字","名字","Tên","Имя","Nom De Pila","Lehenengoa izena"
"user","email.label","Email","email ","E-Mail","correo electrónico","e-mail","e-mail","e-mail","電子メール","电子邮件","電子郵件","電子郵件","電子郵件","Email","Email","correu electrònic","e-mail"
"user","password.label","Password","Mot de passe ","Passwort","Contraseña","Password","Wachtwoord","Senha","パスワード","密码","密碼","密碼","密碼","Mật khẩu","пароль","Contrasenya","Pasahitza"
,,,,,,,,,,,,,,,,,
"user","user.label","User","User","tragen","desgaste","indossare","slijtage","desgaste","着用","User","User","User","User","User","пользователь","Desgast","Higadura"
"user","groups.label","Groups","Groups","Gruppen","grupos","Gruppi","groepen","grupos","グループ","群组","群組","群組","群組","Nhóm","группы","Grups","Taldeak"
"user","roles.label","Roles","Roles","Suche","búsqueda","ricerca","zoeken","pesquisa","検索","角色","角色","角色","角色","Vai trò","Роли","Cerca","Search"
"user","permissions.label","Permissions","Permissions","Berechtigungen","Permisos","Autorizzazioni","Machtigingen","permissões","パーミッション","权限","權限","權限","權限","Cấp phép","Разрешения","Permisos","Baimenak"
"user","last.logins.label","Last logins","Last logins","Letzte Anmeldungen","Último inicio de sesión","Ultimi accessi","laatste logins","últimos logins","ラストのログイン","最后登录","最後登錄","最後登錄","最後登錄","Lần đăng nhập cuối","Последние логины","Últim inici de sessió","Azken sarrerak Adina"
,,,,,,,,,,,,,,,,,
"user","permission.code.label","Code","Code","Code","código","codice","code","código","コード","代码","代碼","代码","代碼","Mã","код","Codi","Kodea"
"user","permission.name.label","Name","Nom ","Name","nombre","nome","naam","nome","名前","名字","名字","名字","名字","tên","имя","Nom","Izena"
,,,,,,,,,,,,,,,,,
"user","user.label","User","User","tragen","desgaste","indossare","slijtage","desgaste","着用","穿","穿","穿","穿","dùng","пользователь","Desgast","Higadura"
,,,,,,,,,,,,,,,,,
"## -- User Details Page --",,,,,,,,,,,,,,,,,
"header.title","user.details","User details","Informations utilisateur","Benutzerdetails","detalles del usuario","dettagli utente","gebruikersgegevens","detalhes do Usuário","ユーザーの詳細","用户详情","用戶詳情","用戶詳情","用戶詳情","Chi tiết người dùng","Данные пользователя","Detalls de l'usuari","Erabiltzaile xehetasunak"
"header.menu","user.details","User details","Informations utilisateur","Benutzerdetails","detalles del usuario","dettagli utente","gebruikersgegevens","detalhes do Usuário","ユーザーの詳細","用户详情","用戶詳情","用戶詳情","用戶詳情","Chi tiết người dùng","Данные пользователя","Detalls de l'usuari","Erabiltzaile xehetasunak"
"breadcrumb.and.header","user","User details","User détails","Benutzerdetails","detalles del usuario","dettagli utente","gebruikersgegevens","detalhes do Usuário","ユーザーの詳細","用户详情","用戶詳情","用戶詳情","用戶詳情","Chi tiết người dùng","Данные пользователя","Detalls de l'usuari","Erabiltzaile xehetasunak"
"user","main.content.title.user.details","User details","User détails","Benutzerdetails","detalles del usuario","dettagli utente","gebruikersgegevens","detalhes do Usuário","ユーザーの詳細","用户详情","用戶詳情","用戶詳情","用戶詳情","Chi tiết người dùng","Данные пользователя","Detalls de l'usuari","Erabiltzaile xehetasunak"
"user","content.text","User details","User détails","Benutzerdetails","detalles del usuario","dettagli utente","gebruikersgegevens","detalhes do Usuário","ユーザーの詳細","用户详情","用戶詳情","用戶詳情","用戶詳情","Chi tiết người dùng","Данные пользователя","Detalls de l'usuari","Erabiltzaile xehetasunak"
,,,,,,,,,,,,,,,,,
"user","last.login.date.label","Date","Date","Datum","fecha","data","datum","data","日付","日期","日期","日期","日期","Ngày","дата","Data","Data"
"user","last.login.host.label","Host","Hôte","Gastgeber","anfitrión","ospite","gastheer","hospedeiro","ホスト","主","主","主","主","Host","хозяин","Amfitrió","Host"
"user","last.login.address.label","Address","Adresse","Anschrift","dirección","indirizzo","adres","endereço","アドレス","地址","地址","地址","地址","Địa chỉ","адрес","Direcció","Helbidea"
,,,,,,,,,,,,,,,,,
"## -- User Edit Page --",,,,,,,,,,,,,,,,,
"header.title","user.edit","User Edit","Édition utilisateur","User Edition","Edición usuario","Edizione utente","gebruiker Edition","User Edition","ユーザー版","用户修改","用戶修改","用戶修改","用戶修改","Tùy chỉnh người dùng","Пользователь Редактировать","Edició usuari","Erabiltzaile Edition"
"user","user.edit","User Edit","Édition utilisateur","User Edition","Edición usuario","Edizione utente","gebruiker Edition","User Edition","ユーザー版","用户修改","用戶修改","用戶修改","用戶修改","Tùy chỉnh người dùng","Пользователь Редактировать","Edició usuari","Erabiltzaile Edition"
"user","main.content.title.user.edit","User Edit","Édition utilisateur","User Edition","Edición usuario","Edizione utente","gebruiker Edition","User Edition","ユーザー版","用户修改","用戶修改","用戶修改","用戶修改","Tùy chỉnh người dùng","Пользователь Редактировать","Edició usuari","Erabiltzaile Edition"
"user","error.form.user.id.is.empty","Id can&#39;t be empty","Id ne doit pas être vide","Id sollte nicht leer sein","Id no debe estar vacío","Id non deve essere vuoto","Id mag niet leeg zijn","Id não deve ficar vazio","Idは空であってはならない","ID不能为空","ID不能為空","ID不能為空","ID不能為空","Id không thể để trống","Id не может быть пустым","Aneu no ha d'estar buit","Id ezin da hutsik egon"
"user","error.form.user.lastname.is.empty","Lastname can&#39;t be empty","Prénom ne doit pas être vide","Name darf nicht leer sein","El nombre no debe estar vacío","Il nome non deve essere vuoto","Naam mag niet leeg zijn","O nome não deve estar vazio","名は空であってはならない","姓氏不能为空","姓氏不能為空","姓氏不能為空","姓氏不能為空","Họ không thể để trống","Фамилия не может быть пустым","El nom no ha d'estar buit","Izena ezin da hutsik egon"
"user","error.form.user.firstname.is.empty","Firstname can&#39;t be empty","Nom ne doit pas être vide","Name darf nicht leer sein","El nombre no debe estar vacío","Il nome non deve essere vuoto","Naam mag niet leeg zijn","O nome não deve estar vazio","名は空であってはならない","名字不能为空","名字不能為空","名字不能为空","名字不能為空","FirstName không thể để trống","Имя не может быть пустым","El nom no ha d'estar buit","Izena ezin da hutsik egon"
"user","error.form.user.email.is.empty","Email can&#39;t be empty","Email ne doit pas être vide","E-Mail sollte nicht leer sein","El correo electrónico no debe estar vacío","Email non deve essere vuoto","E-mail mag niet leeg zijn","E-mail não deve estar vazio","メールは空であってはならない","电子邮件不能为空","電子郵件不能為空","电子邮件不能为空","電子郵件不能為空","Email không thể để trống","Email не может быть пустым","El correu electrònic no ha d'estar buit","E-posta ezin da hutsik egon"
"user","error.form.user.password.is.empty","Password can&#39;t be empty","Mot de passe ne doit pas être vide","Passwort darf nicht leer sein","La contraseña no debe estar vacío","La password non deve essere vuoto","Wachtwoord mag niet leeg zijn","A senha não deve estar vazio","パスワードが空であってはならない","密码不能为空","密碼不能為空","密码不能为空","密碼不能為空","Mật khẩu không thể để trống","Пароль не может быть пустым","La contrasenya no ha d'estar buit","Pasahitza ezin da hutsik egon"
"user","error.form.user.title.is.empty","Title can&#39;t be empty","La civilité ne doit pas être vide","Höflichkeit sollte nicht leer sein","La civilidad no debe estar vacío","Civiltà non deve essere vuoto","Beleefdheid mag niet leeg zijn","Civilidade não deve ficar vazio","礼節は空であってはならない","标题不能为空","標題不能為空","标题不能为空","標題不能為空","Tiêu đề không thể để trống","Название не может быть пустым","La civilitat no ha d'estar buit","Gizalegea ezin da hutsik egon"
"user","error.form.user.country.is.empty","Country can&#39;t be empty","Le pays ne doit pas être vide","Das Land sollte nicht leer sein","El país no debe estar vacío","Il paese non deve essere vuoto","Het land mag niet leeg zijn","O país não deve estar vazio","国は空であってはならない","国家不能为空","國家不能為空","国家不能为空","國家不能為空","Quốc gia không thể để trống","Страна не может быть пустым","El país no ha d'estar buit","Herrialdeko ezin da hutsik egon"
,,,,,,,,,,,,,,,,,
"## -- Company Page --",,,,,,,,,,,,,,,,,
"header.title","company.details","Company details","Informations société","??","??","??","??","??","??","??","??","??","??","??","??","??","??"
"header.menu","company.details","Company details","Informations société","??","??","??","??","??","??","??","??","??","??","??","??","??","??"
,,,,,,,,,,,,,,,,,
"company","name.label","Name","Nom","Name","nombre","nome","naam","nome","Name","Name","Name","Name","Name","Name","имя","Nom","Izena"
"company","description.label","Description","Description","Beschreibung","descripción","descrizione","beschrijving","descrição","Description","Description","Description","Description","Description","Description","описание","Descripció","Deskribapena"
"company","city.label","City","Ville","City","City","città","City","cidade","City","City","City","City","City","City","город","Ciutat","Herriaren"
"company","country.label","Country","Pays","Land","Country","paese","land","país","Country","Country","Country","Country","Country","Country","страна","País","Herriko"
,,,,,,,,,,,,,,,,,
"company","company.form.name.label","Company name","Nom de la société","Name der Firma","nombre de empresa","nome della ditta","bedrijfsnaam","nome da empresa","Name","Name","Name","Name","Name","Name","название компании","Nom del Empresa","Enpresaren izena"
"company","company.form.name.placeholder","Company name","Nom de la société","Name der Firma","nombre de empresa","nome della ditta","bedrijfsnaam","nome da empresa","Name","Name","Name","Name","Name","Name","название компании","Nom del Empresa","Enpresaren izena"
"company","company.form.description.label","Description","Description","Beschreibung","descripción","descrizione","beschrijving","descrição","Description","Description","Description","Description","Description","Description","описание","Descripció","Deskribapena"
"company","company.form.description.placeholder","Description","Description","Beschreibung","descripción","descrizione","beschrijving","descrição","Description","Description","Description","Description","Description","Description","описание","Descripció","Deskribapena"
